"County","Y.2012","Y.2016"
"Baker",28.04,20.47
"Benton",62,59.88
"Clackamas",50.44,47.7
"Clatsop",55.34,47.05
"Columbia",50.28,38.2
"Coos",44.78,33.37
"Crook",30.34,21.66
"Curry",39.6,34.1
"Deschutes",45.13,43.07
"Douglas",34.43,26.34
"Gilliam",34.97,23.45
"Grant",21.81,17.03
"Harney",23.22,17.19
"Hood River",61.58,59.67
"Jackson",45.86,40.66
"Jefferson",40.38,31.5
"Josephine",37.16,30.19
"Klamath",29.86,23.63
"Lake",20.75,16.26
"Lane",59.73,53.53
"Lincoln",58.31,49.5
"Linn",39.63,30.65
"Malheur",27.71,21.52
"Marion",46.83,42.23
"Morrow",30.96,24.41
"Multnomah",75.37,73.3
"Polk",46.21,40.75
"Sherman",31.09,19.86
"Tillamook",50.27,41.79
"Umatilla",34.38,27.8
"Union",33.21,25.05
"Wallowa",29.8,25.56
"Wasco",47.93,39.96
"Washington",57.08,56.92
"Wheeler",31,18.95
"Yamhill",44.89,39.59
